Matrix Size,C_N,C_L,C_B_128,C_B_256,C_B_512,Java_N,Java_L
600,1.822784810127,5.917808219178,,,,1.92,2.0093023255813955
1000,1.742160278746,6.116207951070,,,,1.3679890560875514,2.242152466367713
1400,1.397148676171,4.440129449838,,,,0.9239057239057238,2.0954562810232913
1800,1.270034843206,4.371814092954,,,,0.898474811277153,2.10769786772678
2200,1.252779575269,4.112784859019,,,,0.7112654887946295,2.0946198485295566
2600,1.167995746943,4.269646544395,,,,0.8464038910693218,2.108571771339452
3000,1.084468008194,3.955754157205,,,,0.798178969462264,2.093834819697557
4096,,4.223952101297,1.1796322502103,1.1428484406453,1.1677056369754,,1.9532011692010345
6144,,4.169009176168,1.1673456512180,1.1280830466889,1.1378792296529,,1.9316487307889314
8192,,3.551680942505,1.1453604047793,1.0936387874872,1.1398391364226,,1.9137550937651755
10240,,3.455451525962,1.1375046469868,1.0947668207933,1.1282178215117,,1.6984520028440886
