Matrix Size,C_N,C_L,C_B_128,C_B_256,C_B_512,Java_N,Java_L
600,244277104,27142330,,,,,
1000,1127133769,125584621,,,,,
1400,3091611772,345270231,,,,,
1800,6578380918,741434624,,,,,
2200,11990532085,2065144260,,,,,
2600,19789994075,4426512759,,,,,
3000,30401795217,6798869867,,,,,
4096,,17500060925,8867340048,8773111290,8811859085,,
6144,,58950743236,29918753894,29602403071,29743111608,,
8192,,139693882614,70916016483,70172070268,70493706785,,
10240,,272580137694,138489101537,137024766847,137696983529,,
